Time,Country Name,Forest_area%,Total greenhouse gas emissions ,Renewable_energy_consumption,Oil rents (% of GDP),Level of water stress:,Agricultural land (% of land area),Agricultural methane emissions (% of total) ,"Annual freshwater withdrawals, agriculture "
2020,Maldives,2.733333333,1994.511834,1.28,0,15.66666667,21.33333333,..,0
2020,Nepal,41.59072201,45868.55644,74.54,0,8.311832662,28.74782002,..,98.13522023
2020,Pakistan,4.833307389,436608.9225,46.6,0.159470064,116.3057481,47.63776463,..,93.97656037
2020,Sri Lanka,34.15809893,35117.25456,49.32,0,90.78541374,45.45748464,..,87.36289201
2021,Afghanistan,1.852781994,..,17.86,0.017869506,..,58.74154823,..,..
2021,Bangladesh,14.46877161,..,..,0.031577189,..,77.34501037,..,..
2021,Bhutan,71.50131096,..,87.45,0,..,13.45044573,..,..
2021,India,24.35982901,..,..,0.325610194,..,60.04592643,..,..
2021,Maldives,2.733333333,..,1.04,0,..,19.66666667,..,..
2021,Nepal,41.59072201,..,..,0,..,28.74782002,..,..
2021,Pakistan,4.779680365,..,..,0.380197434,..,47.09293275,..,..
2021,Sri Lanka,34.10701584,..,..,0,..,45.45748464,..,..
